StartB,MFE,ranked,Sliding_window
713,31.0,1.0," 713_35bp-Brkp-5bp
"
714,31.0,1.0," 714_20bp-Brkp-20bp
"
715,31.0,1.0," 715_5bp-Brkp-35bp
"
716,31.0,1.0," 716_10bp-Brkp-30bp
"
717,31.0,1.0," 717_35bp-Brkp-5bp
"
719,31.0,1.0," 719_5bp-Brkp-35bp
"
721,31.0,1.0," 721_35bp-Brkp-5bp
"
724,31.0,1.0," 724_10bp-Brkp-30bp
"
725,31.0,1.0," 725_35bp-Brkp-5bp
"
729,31.0,1.0," 729_35bp-Brkp-5bp
"
730,31.0,1.0," 730_20bp-Brkp-20bp
"
731,31.0,1.0," 731_5bp-Brkp-35bp
"
733,31.0,1.0," 733_35bp-Brkp-5bp
"
734,31.0,1.0," 734_20bp-Brkp-20bp
"
736,31.0,1.0," 736_10bp-Brkp-30bp
"
740,31.0,1.0," 740_10bp-Brkp-30bp
"
742,31.0,1.0," 742_20bp-Brkp-20bp
"
748,31.0,1.0," 748_10bp-Brkp-30bp
"
750,31.0,1.0," 750_20bp-Brkp-20bp
"
751,31.0,1.0," 751_5bp-Brkp-35bp
"
752,31.0,1.0," 752_10bp-Brkp-30bp
"
753,31.0,1.0," 753_35bp-Brkp-5bp
"
755,31.0,1.0," 755_5bp-Brkp-35bp
"
757,31.0,1.0," 757_35bp-Brkp-5bp
"
758,31.0,1.0," 758_20bp-Brkp-20bp
"
761,31.0,1.0," 761_35bp-Brkp-5bp
"
762,31.0,1.0," 762_20bp-Brkp-20bp
"
763,31.0,1.0," 763_5bp-Brkp-35bp
"
765,31.0,1.0," 765_35bp-Brkp-5bp
"
769,31.0,1.0," 769_35bp-Brkp-5bp
"
770,31.0,1.0," 770_20bp-Brkp-20bp
"
771,31.0,1.0," 771_5bp-Brkp-35bp
"
772,31.0,1.0," 772_10bp-Brkp-30bp
"
773,31.0,1.0," 773_35bp-Brkp-5bp
"
774,31.0,1.0," 774_20bp-Brkp-20bp
"
775,31.0,1.0," 775_5bp-Brkp-35bp
"
779,31.0,1.0," 779_5bp-Brkp-35bp
"
782,31.0,1.0," 782_20bp-Brkp-20bp
"
783,31.0,1.0," 783_5bp-Brkp-35bp
"
784,31.0,1.0," 784_10bp-Brkp-30bp
"
786,31.0,1.0," 786_20bp-Brkp-20bp
"
788,31.0,1.0," 788_10bp-Brkp-30bp
"
789,31.0,1.0," 789_35bp-Brkp-5bp
"
793,31.0,1.0," 793_35bp-Brkp-5bp
"
796,31.0,1.0," 796_10bp-Brkp-30bp
"
797,31.0,1.0," 797_35bp-Brkp-5bp
"
798,31.0,1.0," 798_20bp-Brkp-20bp
"
799,31.0,1.0," 799_5bp-Brkp-35bp
"
800,31.0,1.0," 800_10bp-Brkp-30bp
"
803,31.0,1.0," 803_5bp-Brkp-35bp
"
805,31.0,1.0," 805_35bp-Brkp-5bp
"
810,31.0,1.0," 810_20bp-Brkp-20bp
"
811,31.0,1.0," 811_5bp-Brkp-35bp
"
812,31.0,1.0," 812_10bp-Brkp-30bp
"
814,31.0,1.0," 814_20bp-Brkp-20bp
"
816,31.0,1.0," 816_10bp-Brkp-30bp
"
817,31.0,1.0," 817_35bp-Brkp-5bp
"
819,31.0,1.0," 819_5bp-Brkp-35bp
"
826,31.0,1.0," 826_20bp-Brkp-20bp
"
827,31.0,1.0," 827_5bp-Brkp-35bp
"
828,31.0,1.0," 828_10bp-Brkp-30bp
"
829,31.0,1.0," 829_35bp-Brkp-5bp
"
830,31.0,1.0," 830_20bp-Brkp-20bp
"
831,31.0,1.0," 831_5bp-Brkp-35bp
"
832,31.0,1.0," 832_10bp-Brkp-30bp
"
833,31.0,1.0," 833_35bp-Brkp-5bp
"
834,31.0,1.0," 834_20bp-Brkp-20bp
"
838,31.0,1.0," 838_20bp-Brkp-20bp
"
839,31.0,1.0," 839_5bp-Brkp-35bp
"
849,31.0,1.0," 849_35bp-Brkp-5bp
"
850,31.0,1.0," 850_20bp-Brkp-20bp
"
852,31.0,1.0," 852_10bp-Brkp-30bp
"
853,31.0,1.0," 853_35bp-Brkp-5bp
"
856,31.0,1.0," 856_10bp-Brkp-30bp
"
858,31.0,1.0," 858_20bp-Brkp-20bp
"
859,31.0,1.0," 859_5bp-Brkp-35bp
"
860,31.0,1.0," 860_10bp-Brkp-30bp
"
862,31.0,1.0," 862_20bp-Brkp-20bp
"
864,31.0,1.0," 864_10bp-Brkp-30bp
"
865,31.0,1.0," 865_35bp-Brkp-5bp
"
866,31.0,1.0," 866_20bp-Brkp-20bp
"
868,31.0,1.0," 868_10bp-Brkp-30bp
"
869,31.0,1.0," 869_35bp-Brkp-5bp
"
870,31.0,1.0," 870_20bp-Brkp-20bp
"
873,31.0,1.0," 873_35bp-Brkp-5bp
"
876,31.0,1.0," 876_10bp-Brkp-30bp
"
877,31.0,1.0," 877_35bp-Brkp-5bp
"
878,31.0,1.0," 878_20bp-Brkp-20bp
"
879,31.0,1.0," 879_5bp-Brkp-35bp
"
882,31.0,1.0," 882_20bp-Brkp-20bp
"
883,31.0,1.0," 883_5bp-Brkp-35bp
"
884,31.0,1.0," 884_10bp-Brkp-30bp
"
885,31.0,1.0," 885_35bp-Brkp-5bp
"
886,31.0,1.0," 886_20bp-Brkp-20bp
"
887,31.0,1.0," 887_5bp-Brkp-35bp
"
888,31.0,1.0," 888_10bp-Brkp-30bp
"
891,31.0,1.0," 891_5bp-Brkp-35bp
"
899,31.0,1.0," 899_5bp-Brkp-35bp
"
900,31.0,1.0," 900_10bp-Brkp-30bp
"
904,31.0,1.0," 904_10bp-Brkp-30bp
"
907,31.0,1.0," 907_5bp-Brkp-35bp
"
909,31.0,1.0," 909_35bp-Brkp-5bp
"
911,31.0,1.0," 911_5bp-Brkp-35bp
"
913,31.0,1.0," 913_35bp-Brkp-5bp
"
914,31.0,1.0," 914_20bp-Brkp-20bp
"
917,31.0,1.0," 917_35bp-Brkp-5bp
"
918,31.0,1.0," 918_20bp-Brkp-20bp
"
923,31.0,1.0," 923_5bp-Brkp-35bp
"
925,31.0,1.0," 925_35bp-Brkp-5bp
"
929,31.0,1.0," 929_35bp-Brkp-5bp
"
931,31.0,1.0," 931_5bp-Brkp-35bp
"
933,31.0,1.0," 933_35bp-Brkp-5bp
"
936,31.0,1.0," 936_10bp-Brkp-30bp
"
939,31.0,1.0," 939_5bp-Brkp-35bp
"
942,31.0,1.0," 942_20bp-Brkp-20bp
"
943,31.0,1.0," 943_5bp-Brkp-35bp
"
953,31.0,1.0," 953_35bp-Brkp-5bp
"
954,31.0,1.0," 954_20bp-Brkp-20bp
"
956,31.0,1.0," 956_10bp-Brkp-30bp
"
957,31.0,1.0," 957_35bp-Brkp-5bp
"
958,31.0,1.0," 958_20bp-Brkp-20bp
"
962,31.0,1.0," 962_20bp-Brkp-20bp
"
963,31.0,1.0," 963_5bp-Brkp-35bp
"
964,31.0,1.0," 964_10bp-Brkp-30bp
"
965,31.0,1.0," 965_35bp-Brkp-5bp
"
971,31.0,1.0," 971_5bp-Brkp-35bp
"
972,31.0,1.0," 972_10bp-Brkp-30bp
"
974,31.0,1.0," 974_20bp-Brkp-20bp
"
977,31.0,1.0," 977_35bp-Brkp-5bp
"
981,31.0,1.0," 981_35bp-Brkp-5bp
"
985,31.0,1.0," 985_35bp-Brkp-5bp
"
987,31.0,1.0," 987_5bp-Brkp-35bp
"
988,31.0,1.0," 988_10bp-Brkp-30bp
"
991,31.0,1.0," 991_5bp-Brkp-35bp
"
995,31.0,1.0," 995_5bp-Brkp-35bp
"
996,31.0,1.0," 996_10bp-Brkp-30bp
"
997,31.0,1.0," 997_35bp-Brkp-5bp
"
998,31.0,1.0," 998_20bp-Brkp-20bp
"
999,31.0,1.0," 999_5bp-Brkp-35bp
"
1000,31.0,1.0," 1000_10bp-Brkp-30bp
"
1001,31.0,1.0," 1001_35bp-Brkp-5bp
"
1002,31.0,1.0," 1002_20bp-Brkp-20bp
"
1004,31.0,1.0," 1004_10bp-Brkp-30bp
"
1005,31.0,1.0," 1005_35bp-Brkp-5bp
"
1008,31.0,1.0," 1008_10bp-Brkp-30bp
"
1009,31.0,1.0," 1009_35bp-Brkp-5bp
"
1011,31.0,1.0," 1011_5bp-Brkp-35bp
"
1014,31.0,1.0," 1014_20bp-Brkp-20bp
"
1016,31.0,1.0," 1016_10bp-Brkp-30bp
"
1021,31.0,1.0," 1021_35bp-Brkp-5bp
"
1023,31.0,1.0," 1023_5bp-Brkp-35bp
"
1024,31.0,1.0," 1024_10bp-Brkp-30bp
"
1026,31.0,1.0," 1026_20bp-Brkp-20bp
"
1037,31.0,1.0," 1037_35bp-Brkp-5bp
"
1038,31.0,1.0," 1038_20bp-Brkp-20bp
"
1039,31.0,1.0," 1039_5bp-Brkp-35bp
"
1040,31.0,1.0," 1040_10bp-Brkp-30bp
"
1041,31.0,1.0," 1041_35bp-Brkp-5bp
"
1042,31.0,1.0," 1042_20bp-Brkp-20bp
"
1047,31.0,1.0," 1047_5bp-Brkp-35bp
"
1049,31.0,1.0," 1049_35bp-Brkp-5bp
"
1056,31.0,1.0," 1056_10bp-Brkp-30bp
"
1057,31.0,1.0," 1057_35bp-Brkp-5bp
"
1058,31.0,1.0," 1058_20bp-Brkp-20bp
"
1059,31.0,1.0," 1059_5bp-Brkp-35bp
"
1064,31.0,1.0," 1064_10bp-Brkp-30bp
"
1070,31.0,1.0," 1070_20bp-Brkp-20bp
"
1071,31.0,1.0," 1071_5bp-Brkp-35bp
"
1072,31.0,1.0," 1072_10bp-Brkp-30bp
"
1073,31.0,1.0," 1073_35bp-Brkp-5bp
"
